Archetype,Session Duration,Main Lifts,Accessory Movements,Core/Finisher,Primary Subtypes Used,Generation Notes
Titan,30 min,2,1,1,"PowerCompound, VolumeCompound, BilateralIsolation, Controlled Tempo","Strength & hypertrophy focus. Long rest periods. Few movements, more volume per lift."
Titan,45 min,2,2,1,"PowerCompound, VolumeCompound, BilateralIsolation, Controlled Tempo","Strength & hypertrophy focus. Long rest periods. Few movements, more volume per lift."
Titan,60 min,2,2,2,"PowerCompound, VolumeCompound, BilateralIsolation, Controlled Tempo","Strength & hypertrophy focus. Long rest periods. Few movements, more volume per lift."
Titan,75 min,3,2,2,"PowerCompound, VolumeCompound, BilateralIsolation, Controlled Tempo","Strength & hypertrophy focus. Long rest periods. Few movements, more volume per lift."
Titan,90 min,3,3,2,"PowerCompound, VolumeCompound, BilateralIsolation, Controlled Tempo","Strength & hypertrophy focus. Long rest periods. Few movements, more volume per lift."
Apex,30 min,2,1,1,"Explosive, PowerCompound, VolumeCompound, UnilateralIsolation, Contrast Set",Power & aesthetics. Blend of explosive lifts and hypertrophy work. Moderate rest.
Apex,45 min,2,2,1,"Explosive, PowerCompound, VolumeCompound, UnilateralIsolation, Contrast Set",Power & aesthetics. Blend of explosive lifts and hypertrophy work. Moderate rest.
Apex,60 min,2,2,2,"Explosive, PowerCompound, VolumeCompound, UnilateralIsolation, Contrast Set",Power & aesthetics. Blend of explosive lifts and hypertrophy work. Moderate rest.
Apex,75 min,3,2,2,"Explosive, PowerCompound, VolumeCompound, UnilateralIsolation, Contrast Set",Power & aesthetics. Blend of explosive lifts and hypertrophy work. Moderate rest.
Apex,90 min,3,3,2,"Explosive, PowerCompound, VolumeCompound, UnilateralIsolation, Contrast Set",Power & aesthetics. Blend of explosive lifts and hypertrophy work. Moderate rest.
Vanguard,30 min,2,1,1,"UnilateralCompound, Offset Load, Carry/Load, Isometric, Controlled Tempo","Functional strength. Circuits, carries, instability. Short rest and integrated movement."
Vanguard,45 min,2,2,1,"UnilateralCompound, Offset Load, Carry/Load, Isometric, Controlled Tempo","Functional strength. Circuits, carries, instability. Short rest and integrated movement."
Vanguard,60 min,2,2,2,"UnilateralCompound, Offset Load, Carry/Load, Isometric, Controlled Tempo","Functional strength. Circuits, carries, instability. Short rest and integrated movement."
Vanguard,75 min,3,2,2,"UnilateralCompound, Offset Load, Carry/Load, Isometric, Controlled Tempo","Functional strength. Circuits, carries, instability. Short rest and integrated movement."
Vanguard,90 min,3,3,2,"UnilateralCompound, Offset Load, Carry/Load, Isometric, Controlled Tempo","Functional strength. Circuits, carries, instability. Short rest and integrated movement."
Prime,30 min,2,1,1,"PowerCompound, Contrast Set, Explosive, UnilateralCompound, Mobility/Flow",Athletic. High CNS work with supportive movements. Jump/lift pairings and dynamic flow.
Prime,45 min,2,2,1,"PowerCompound, Contrast Set, Explosive, UnilateralCompound, Mobility/Flow",Athletic. High CNS work with supportive movements. Jump/lift pairings and dynamic flow.
Prime,60 min,2,2,2,"PowerCompound, Contrast Set, Explosive, UnilateralCompound, Mobility/Flow",Athletic. High CNS work with supportive movements. Jump/lift pairings and dynamic flow.
Prime,75 min,3,2,2,"PowerCompound, Contrast Set, Explosive, UnilateralCompound, Mobility/Flow",Athletic. High CNS work with supportive movements. Jump/lift pairings and dynamic flow.
Prime,90 min,3,3,2,"PowerCompound, Contrast Set, Explosive, UnilateralCompound, Mobility/Flow",Athletic. High CNS work with supportive movements. Jump/lift pairings and dynamic flow.
